airline,airline_iata,airline_icao,flight,airport_from,airport_from_iata,airport_from_icao,country_iso2_from,country_from,airport_to,airport_to_iata,airport_to_icao,country_iso2_to,country_to,departure_time,arrival_time,flight_duration,operative_days,operative_days_descr,starting_date,end_date,flight_qualify,is_code_sharing,airline_iata_share,airline_icao_share,airline_share_flight,airline_iata_share2,airline_icao_share2,airline_share_flight2
"ALITALIA","AZ","AZA","01549","CAGLIARI","CAG","LIEE","IT","ITALIA","MILANO LINATE","LIN","LIML","IT","ITALIA","13:25","14:35","","1234567","LUNEDI,MARTEDI,MERCOLEDI,GIOVEDI,VENERDI,SABATO,DOMENICA","01/07/2021","31/08/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01530","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","12:10","13:30","","1234567","LUNEDI,MARTEDI,MERCOLEDI,GIOVEDI,VENERDI,SABATO,DOMENICA","01/06/2021","31/08/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01530","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","12:10","13:30","","1234567","LUNEDI,MARTEDI,MERCOLEDI,GIOVEDI,VENERDI,SABATO,DOMENICA","01/10/2021","28/10/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01531","CAGLIARI","CAG","LIEE","IT","ITALIA","MILANO LINATE","LIN","LIML","IT","ITALIA","14:15","15:35","","1234567","LUNEDI,MARTEDI,MERCOLEDI,GIOVEDI,VENERDI,SABATO,DOMENICA","01/06/2021","28/10/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01564","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","13:20","14:40","","1234567","LUNEDI,MARTEDI,MERCOLEDI,GIOVEDI,VENERDI,SABATO,DOMENICA","01/07/2021","30/09/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01548","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","11:45","12:55","","1234500","LUNEDI,MARTEDI,MERCOLEDI,GIOVEDI,VENERDI","01/04/2021","07/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01548","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","11:45","12:55","","0000060","SABATO","28/03/2021","03/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01548","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","11:45","12:55","","0000500","VENERDI","23/04/2021","23/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01549","CAGLIARI","CAG","LIEE","IT","ITALIA","MILANO LINATE","LIN","LIML","IT","ITALIA","13:40","14:50","","1234500","LUNEDI,MARTEDI,MERCOLEDI,GIOVEDI,VENERDI","01/04/2021","07/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01549","CAGLIARI","CAG","LIEE","IT","ITALIA","MILANO LINATE","LIN","LIML","IT","ITALIA","13:40","14:50","","0000060","SABATO","28/03/2021","03/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01548","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","11:55","13:05","","0000007","DOMENICA","04/04/2021","04/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01549","CAGLIARI","CAG","LIEE","IT","ITALIA","MILANO LINATE","LIN","LIML","IT","ITALIA","13:50","15:00","","0000007","DOMENICA","04/04/2021","04/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01552","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","21:35","22:55","","1234567","LUNEDI,MARTEDI,MERCOLEDI,GIOVEDI,VENERDI,SABATO,DOMENICA","05/04/2021","16/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01552","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","21:35","22:55","","1234567","LUNEDI,MARTEDI,MERCOLEDI,GIOVEDI,VENERDI,SABATO,DOMENICA","18/04/2021","28/10/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01552","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","21:35","22:55","","1034507","LUNEDI,MERCOLEDI,GIOVEDI,VENERDI,DOMENICA","28/03/2021","02/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01552","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","21:35","22:55","","0000067","SABATO,DOMENICA","03/04/2021","04/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01552","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","21:35","22:55","","0200000","MARTEDI","28/03/2021","30/03/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01552","MILANO LINATE","LIN","LIML","IT","ITALIA","CAGLIARI","CAG","LIEE","IT","ITALIA","21:35","22:55","","0000060","SABATO","17/04/2021","17/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01561","CAGLIARI","CAG","LIEE","IT","ITALIA","MILANO LINATE","LIN","LIML","IT","ITALIA","07:00","08:20","","1234567","LUNEDI,MARTEDI,MERCOLEDI,GIOVEDI,VENERDI,SABATO,DOMENICA","06/04/2021","17/04/2021","LINEA","0","","","","","",""
"ALITALIA","AZ","AZA","01561","CAGLIARI","CAG","LIEE","IT","ITALIA","MILANO LINATE","LIN","LIML","IT","ITALIA","07:00","08:20","","1234567","LUNEDI,MARTEDI,MERCOLEDI,GIOVEDI,VENERDI,SABATO,DOMENICA","19/04/2021","28/10/2021","LINEA","0","","","","","",""
